Mango Julie                                       $11.00/1kg $4.99/1lb
Flavoured Soup Mix, Spicy                         43 g, $2.77/100g    
Cornmeal                                          450 g, $0.22/100g   
Dasheen Leaves                                    $15.41/1kg $6.99/1lb
Sugar Cane                                        1 ea, $2.99/1ea     
Jamaican Vegetable Patties                        1.12 kg, $1.07/100g 
Golden Sugar                                      800 g, $0.55/100g   
Virgin Coconut Oil                                500 ml, $1.70/100ml 
Organic Coconut Sugar                             500 g, $1.40/100g   
Turbinado Sugar                                   800 g, $0.55/100g   
Pimentos                                          $3.54/100g $35.35/1kg
Butterfish Fillet                                 800 g, $1.87/100g   
Mango Spice                                       $11.00/1kg $4.99/1lb
Bangamary Pan Ready                               800 g, $1.41/100g   
Jamaican Thyme                                    $33.05/1kg $15.00/1lb
Ground Turmeric                                   500 g, $1.06/100g   
Jamaican Calalloo                                 $8.80/1kg $3.99/1lb 
Jerk Seasoning                                    800 g, $0.50/100g   
Jamaican Chicken Patties                          1.12 kg, $1.07/100g 
Soup Mix                                          450 g, $0.22/100g   
Seasoning Salt                                    380 g, $1.05/100g   
Breadfruit                                        $8.80/1kg $3.99/1lb 
White Yams                                        $11.00/1kg $4.99/1lb
Boneless Skinless Chicken Breasts                 1.075 kg, $1.77/100g
Halal Chicken Thighs with Back Attached, Tray Pack$6.59/1kg $2.99/1lb 
Chicken Wieners Original                          450 g, $0.89/100g   
Bone-in Skin-on Chicken Thighs                    840 g, $0.95/100g   
Extra Lean Ground Chicken                         454 g, $1.76/100g   
Skin-on Chicken Legs                              1.28 kg, $0.78/100g 
Chicken Thigh, Club Pack                          1.54 kg, $0.84/100g 
Halloom Semi-Soft Unripened Cheese                250 g, $3.20/100g   
Chicken Drumsticks, Halal                         840 g, $1.07/100g   
Skin-on Chicken Drumsticks                        1.575 kg, $0.83/100g
Free From Lean Ground Lamb                        454 g, $2.42/100g   
Chicken Legs                                      1.6 kg, $0.75/100g  
Lean Ground Halal Beef, Club Pack                 $14.31/1kg $6.49/1lb
Chicken Bologna                                   375 g, $7.97/1kg $0.80/100g
Free From Australian Lamb Boneless Leg            $17.62/1kg $7.99/1lb
Lean Beef                                         454 g, $1.76/100g   
Chicken Breakfast Strips                          375 g, $1.46/100g   
Herb & Garlic Halloom                             250 g, $3.20/100g   
Halal Chicken Wings, Club Pack                    2 kg, $1.10/100g    
Grilling Cheese Plain                             160 g, $4.99/100g   
Free From Rosemary and Garlic Australian Lamb     $22.02/1kg $9.99/1lb
Free From Australian Lamb Loin Chops              $28.64/1kg $12.99/1lb
Halal Hot Dog, Supreme                            900 g, $0.89/100g   
Free From Australian Lamb Shanks                  $18.72/1kg $8.49/1lb
Sliced Smoked Halal Chicken Breast Roast          200 g, $2.50/100g   
Halal Chicken Wieners                             450 g, $0.89/100g   
Spicy Supreme Chicken Frankfurters                900 g, $0.89/100g   
Fresh Lamb Marinated Loin Chops                   $29.74/1kg $13.49/1lb
Sliced Cooked Chicken Breast Roast                200 g, $2.50/100g   
Lamb Loin Chops                                   350 g, $25.69/1kg   
Halal Chicken Thigh                               $6.59/1kg $2.99/1lb 
Halal Fresh Boneless Skinless Chicken Breast      5 kg, $1.32/100g    
Free From Short Cut Leg Australian Lamb           $15.41/1kg $6.99/1lb
Halal Chicken Leg Quarters                        5 kg, $0.50/100g    
Free From Rosemary and Garlic Frenched Rack Australian Lamb$57.30/1kg $26.00/1lb
Lamb Rack Frenched Frozen                         $57.30/1kg $26.00/1lb
Free From Australian Lamb Shoulder Chops          $26.43/1kg $11.99/1lb
Halal Whole Chicken Club Pack                     $7.69/1kg $3.49/1lb 
Beef Patties Mild 9 Patties                       1.17 kg, $1.02/100g 
Free From Greek Australian Lamb                   $25.33/1kg $11.49/1lb
Halal Chicken Breasts, Boneless Skinless          $16.07/1kg $7.29/1lb
Spicy Italian Fully-Cooked Sausages               375 g, $1.73/100g   
Halal Chicken Drumsticks                          $8.36/1kg $3.79/1lb 
Australian Lamb Shoulder Chops Rosemary & Garlic  $27.54/1kg $12.50/1lb
Goat Stew Bone In                                 1 kg, $2.20/100g    
Halal Chicken Thighs                              $7.03/1kg $3.19/1lb 
Jalapeno Peppers                                  $9.90/1kg $4.49/1lb 
Jalapeno Hot Peppers                              226 g, $1.77/100g   
Physalis (Gooseberries)                           200 g, $2.00/100g   
Chili Powder Seasoning                            140 g, $3.51/100g   
White Tortilla                                    794 g, $0.38/100g   
Tomatillo                                         340 g, $1.17/100g   
Habanero Hot Peppers                              50 g, $8.00/100g    
Tortillas Corn                                    765 g, $0.39/100g   
Atemoya                                           1 ea, $4.99/1ea     
Thai Green Chili Peppers                          $12.54/1kg $5.69/1lb
Red Thai Hot Peppers                              75 g, $5.33/100g    
Instant Noodles Mi Goreng Hot & Spicy 5 Packs X 80 G ()5x425.0 g, $1.00/100g
Green Thai Hot Peppers                            75 g, $5.33/100g    
Red Pummelos                                      1 ea, $2.99/1ea     
M.Y Sans Crackers                                 800 g, $1.00/100g   
Corned Beef                                       326 g, $1.68/100g   
Milkfish, Frozen                                  $9.90/1kg $4.49/1lb 
Hot 'N Spicy Flavoured Pork Rinds (small bag) 70g 70 g, $3.99/100g    
Corned Beef & Garlic                              326 g, $1.68/100g   
Cured Sausage Hot Longanisa                       375 g, $1.73/100g   
