Product Name                                      Price               
Previously Frozen Basa Fillet                     $24.45/1kg $11.09/1lb
Lobster Delectables - Flake                       227 g, $1.54/100g   
Whole Beef Shank, Sliced                          $9.90/1kg $4.49/1lb 
Red Fish Slices                                   750 g, $1.33/100g   
Butterfish Fillet                                 800 g, $1.87/100g   
Sardines, Large                                   750 g, $0.80/100g   
Bangamary Pan Ready                               800 g, $1.41/100g   
Frozen Silverside Smelts                          454 g, $1.32/100g   
Seafood Basa Portion                              200 g, $1.15/100g   
Tuna Steaks, Previously Frozen                    $37.24/1kg $16.90/1lb
Crab Delectables Flake Style                      227 g, $1.54/100g   
Haddock Fillets                                   $27.54/1kg $12.50/1lb
Tuna Steak                                        113 g, $3.35/100g   
Frozen Squid Tubes                                680 g, $1.47/100g   
Calamari Rings, Uncooked                          340 g, $2.64/100g   
California Squid                                  1 kg, $1.40/100g    
Octopus Roll, Frozen                              750 g, $1.73/100g   
